"sampleId","mean","sd","n","mu0"
"Sample 1193",2.74635230795968,2.40546526961519,82,3
"Sample 1194",2.78193894917581,2.48002516906852,82,3
"Sample 1195",2.88641658473473,2.50290793711559,82,3
"Sample 1196",3.69320752876724,2.15898696006017,82,3
"Sample 1197",3.21664656288552,2.5958107379033,82,3
"Sample 1198",2.69804877771469,2.39820953737458,82,3
"Sample 1199",2.9934185845075,2.45150724665688,82,3
"Sample 12",3.22003483363871,2.16033036820688,82,3
"Sample 120",2.82041446983809,2.51642937423099,82,3
"Sample 1200",3.44189541264588,2.67829385219374,82,3
"Sample 1201",3.055730360919,2.46356607855962,82,3
"Sample 1202",2.92364759887836,2.4214517723533,82,3
"Sample 1203",3.18052630667146,2.52947508918649,82,3
"Sample 1204",2.85657093650572,2.70237733786548,82,3
"Sample 1205",3.61237996426798,2.50523424917694,82,3
"Sample 1206",2.8106368380087,2.66208331403794,82,3
"Sample 1207",2.9384516131205,2.68918839526625,82,3
"Sample 1208",3.30099919198771,2.51075603812394,82,3
"Sample 1209",3.17813194863074,2.49584075384783,82,3
"Sample 121",2.96899916888646,2.30788903539924,82,3
"Sample 1210",3.10947948565952,2.69715444891703,82,3
"Sample 1211",3.19874494132063,2.11363753068138,82,3
"Sample 1212",3.11927579131006,2.19063833838154,82,3
"Sample 1213",3.00309437654304,2.40665050314015,82,3
"Sample 1214",3.242005889525,2.47354038891242,82,3
"Sample 1215",2.88491938822727,2.18020341810277,82,3
"Sample 1216",2.89175968709793,2.41222011645632,82,3
"Sample 1217",2.97767663003819,2.5784053516881,82,3
"Sample 1218",3.06706708278308,2.56936652850864,82,3
"Sample 1219",2.89026346348069,2.04769908430314,82,3
"Sample 122",3.32644120178032,2.20311669338699,82,3
"Sample 1220",2.87777322925695,2.39996345062268,82,3
"Sample 1221",2.57128981413677,2.11542926809703,82,3
"Sample 1222",3.50645517517186,2.68789750159559,82,3
"Sample 1223",2.81179759447874,2.79392227302744,82,3
"Sample 1224",2.53788418420752,2.66370373861634,82,3
"Sample 1225",2.82481746271716,2.70070444968643,82,3
"Sample 1226",3.12909559460681,2.67133224317264,82,3
"Sample 1227",3.08951508125157,2.56908998950735,82,3
"Sample 1228",3.08285282058174,2.56224635081983,82,3
"Sample 1229",3.26445953167513,2.60292949064714,82,3
"Sample 123",2.6916539933462,2.26259771277674,82,3
"Sample 1230",2.91515652119864,2.59618142974758,82,3
"Sample 1231",2.82793094781018,2.50497158825361,82,3
"Sample 1232",2.73850547686472,2.48419961438406,82,3
"Sample 1233",2.93366593695074,2.61754526050672,82,3
"Sample 1234",3.32843514470394,2.23354288179185,82,3
"Sample 1235",2.98348770225284,2.71246015377676,82,3
"Sample 1236",2.84426143130412,2.3901585656169,82,3
"Sample 1237",2.93999051380897,2.07952023885847,82,3
"Sample 1238",3.00305376733987,2.40383503204579,82,3
"Sample 1239",2.77154979832078,2.76032641087621,82,3
"Sample 124",2.92280502546329,2.19269344774435,82,3
"Sample 1240",2.69554242979366,2.56079408688512,82,3
"Sample 1241",3.07920486857977,2.97268009544429,82,3
"Sample 1242",2.64853836190652,2.36457105423293,82,3
"Sample 1243",2.88880438199871,2.57171688337524,82,3
"Sample 1244",3.38664815212196,2.70132364219448,82,3
"Sample 1245",2.44527364439573,2.69106026991223,82,3
"Sample 1246",3.20693428463844,2.44045773279945,82,3
"Sample 1247",3.36232795115044,2.27229751516649,82,3
"Sample 1248",2.81547915893174,2.920690374762,82,3
"Sample 1249",2.37763499929951,2.51961724694893,82,3
"Sample 125",2.9865910994571,2.28117069143011,82,3
"Sample 1250",3.06518429721846,2.45619463723097,82,3
"Sample 1251",3.07850693408656,2.88831157794645,82,3
"Sample 1252",2.76429444542815,2.36762266194095,82,3
"Sample 1253",3.16801968669629,2.61252243902442,82,3
"Sample 1254",3.17162883339013,2.7857590445654,82,3
"Sample 1255",3.0180099739237,2.33521602080519,82,3
"Sample 1256",3.1410646804,2.48680514512182,82,3
"Sample 1257",2.95916229830736,2.67660031396383,82,3
"Sample 1258",3.15568610290373,2.36099083509343,82,3
"Sample 1259",3.11186117881627,2.4606119640386,82,3
"Sample 126",2.99468326033772,2.51921537205278,82,3
"Sample 1260",3.34299143946344,2.50329632045105,82,3
"Sample 1261",2.67992120358766,2.51277317851705,82,3
"Sample 1262",2.89555947292558,2.44600257828762,82,3
"Sample 1263",3.41183353790084,2.5703675857637,82,3
"Sample 1264",2.99283589866201,2.27395235038775,82,3
"Sample 1265",3.25389826695871,2.64606380488623,82,3
"Sample 1266",2.94056436086041,2.78085886213057,82,3
"Sample 1267",2.55263358283064,2.42251566559369,82,3
"Sample 1268",2.36814396743862,2.35022936058802,82,3
"Sample 1269",2.77342403053622,2.60476641379517,82,3
"Sample 127",3.12148149736565,2.64537087641468,82,3
"Sample 1270",3.18398829848204,2.61528142175494,82,3
"Sample 1271",2.95200344317137,2.65954395701183,82,3
"Sample 1272",3.12216736745173,2.49404227789755,82,3
"Sample 1273",2.97498756739862,2.60217131245537,82,3
"Sample 1274",3.167526620378,2.79477886978602,82,3
"Sample 1275",2.68978071794102,2.18103504334435,82,3
"Sample 1276",3.10516439394702,2.52018439491061,82,3
"Sample 1277",2.93997981913517,2.82916444518594,82,3
"Sample 1278",3.01850353894202,2.69821003777076,82,3
"Sample 1279",2.73979932743002,2.73782359050823,82,3
"Sample 128",3.06083562277798,2.628246997766,82,3
"Sample 1280",2.91833172321387,2.33883556637959,82,3
"Sample 1281",2.7802902444255,2.74721393995079,82,3
"Sample 1282",3.31182333662966,2.47519723331985,82,3
"Sample 1283",3.23934592556044,2.42910062276781,82,3
"Sample 1284",2.6634820884626,2.71609950430236,82,3
"Sample 1285",2.89570360295782,2.62351367594798,82,3
"Sample 1286",3.11444488567971,2.5575363097226,82,3
"Sample 1287",2.98817956643952,2.41422837536298,82,3
"Sample 1288",3.09058035990616,2.46104089865283,82,3
"Sample 1289",2.8709789057651,2.6928764734572,82,3
"Sample 129",3.05737608666704,2.54990852431325,82,3
"Sample 1290",3.41338223659914,2.52300496172332,82,3
"Sample 1291",3.13441489956731,2.63191500676049,82,3
"Sample 1292",2.81331306972531,2.48693676429941,82,3
"Sample 1293",3.50276108632807,2.51789338009547,82,3
"Sample 1294",3.14225661333393,2.71758745554442,82,3
"Sample 1295",2.73712915361992,2.7403284294352,82,3
"Sample 1296",2.98328253417439,2.78394483710269,82,3
"Sample 1297",2.9283457595654,2.19751605492612,82,3
"Sample 1298",2.64538770740933,2.77814085462065,82,3
"Sample 1299",3.12715112667705,2.61736587812104,82,3
"Sample 13",2.82084432308031,2.693200494258,82,3
"Sample 130",3.04977304469174,2.09005443962711,82,3
"Sample 1300",2.58587137153186,2.50780615575539,82,3
"Sample 1301",3.01681921788824,2.98299383361242,82,3
"Sample 1302",2.94533959101809,2.22060873301141,82,3
"Sample 1303",2.90032437756856,2.23074051078321,82,3
"Sample 1304",3.42752876484315,2.61016768900032,82,3
"Sample 1305",2.91642089996944,2.36402173563677,82,3
"Sample 1306",3.27365910075391,2.5575057880248,82,3
"Sample 1307",2.65026913876789,2.2355526962112,82,3
"Sample 1308",3.08998980973253,2.84700756104466,82,3
"Sample 1309",2.85232601672054,2.44467105500714,82,3
"Sample 131",2.83427320883785,2.32963108772098,82,3
"Sample 1310",3.2069089017275,2.46135247194169,82,3
"Sample 1311",2.78577674885824,2.69588918575722,82,3
"Sample 1312",2.97985346935901,2.22791303681219,82,3
"Sample 1313",2.91901970746392,2.41533157632594,82,3
"Sample 1314",3.19447814196945,2.49059553561608,82,3
"Sample 1315",2.94084296330504,2.68534358330344,82,3
"Sample 1316",3.16591147405345,2.62236788741611,82,3
"Sample 1317",3.29831753842771,2.82116479354905,82,3
"Sample 1318",3.15985751975941,2.37418711945549,82,3
"Sample 1319",2.6519451027728,2.25562424322637,82,3
"Sample 132",2.60304218422602,2.3791168447972,82,3
"Sample 1320",2.86615836956672,2.89842946112423,82,3
"Sample 1321",2.51785281996851,2.3103089598725,82,3
"Sample 1322",2.69933063407845,2.71037995451686,82,3
"Sample 1323",3.11379369855914,2.05989743151419,82,3
"Sample 1324",2.93057892458104,2.28765630021966,82,3
"Sample 1325",3.47076733745752,2.54162600912915,82,3
"Sample 1326",2.92264324874317,2.54787674652006,82,3
"Sample 1327",3.03448592030164,2.74179529644629,82,3
"Sample 1328",2.9373287564989,2.52317120452077,82,3
"Sample 1329",3.01875811644124,2.31079640321779,82,3
"Sample 133",3.27116566247922,2.53589901270422,82,3
"Sample 1330",2.64955294539358,2.26933775364584,82,3
"Sample 1331",3.44133995805424,2.04054346726788,82,3
"Sample 1332",3.09668836011053,2.23359246971136,82,3
"Sample 1333",3.08898771102074,2.18640885194155,82,3
"Sample 1334",2.80468144019679,2.33084446743365,82,3
"Sample 1335",3.19543605192964,2.44072676128646,82,3
"Sample 1336",3.0890672456986,2.10184013204554,82,3
"Sample 1337",3.14349521362459,2.14126772708992,82,3
"Sample 1338",3.61565698038894,2.66670152853577,82,3
"Sample 1339",2.77742646813834,2.8002584465659,82,3
"Sample 134",2.20477601212975,2.47047298771431,82,3
"Sample 1340",2.57647769196137,2.38757439926537,82,3
"Sample 1341",2.76519824394248,2.49343793705468,82,3
"Sample 1342",2.84898014112903,2.71694103954,82,3
"Sample 1343",2.85096740455515,2.75979320625304,82,3
"Sample 1344",3.35569118824687,2.39857328693069,82,3
"Sample 1345",3.17585946182824,2.44909907261804,82,3
"Sample 1346",2.88721257440547,2.4309363611829,82,3
"Sample 1347",2.97096425467301,2.6537317771389,82,3
"Sample 1348",2.49993093773637,2.30754596426986,82,3
"Sample 1349",3.23139239935702,2.60256485254847,82,3
"Sample 135",3.23861665527045,2.42717085670896,82,3
"Sample 1350",2.584182584627,2.63791168427752,82,3
"Sample 1351",2.93316539395025,2.43461899396157,82,3
"Sample 1352",2.70839568330491,2.46309516657749,82,3
"Sample 1353",2.97249279446299,2.30551862872548,82,3
"Sample 1354",3.19253144347964,2.38270582928579,82,3
"Sample 1355",2.87709418772201,2.43283103050155,82,3
"Sample 1356",2.96571065188277,2.82695643188359,82,3
"Sample 1357",2.63516279215367,2.48916753862957,82,3
"Sample 1358",3.48767758372938,2.37431735011265,82,3
"Sample 1359",3.27500822278263,2.39679655544661,82,3
"Sample 136",3.39022981470581,2.57142971358806,82,3
"Sample 1360",3.28179740605248,2.30277913957813,82,3
"Sample 1361",2.63591601670115,2.31826103385311,82,3
"Sample 1362",2.57635231055874,2.08429594522272,82,3
"Sample 1363",2.90704460916751,2.47096730281167,82,3
"Sample 1364",2.84286499362577,2.11606303137899,82,3
"Sample 1365",3.2670459847057,2.74907404514733,82,3
"Sample 1366",2.89049107326003,2.57044115701536,82,3
"Sample 1367",2.47750473694721,2.33415106688577,82,3
"Sample 1368",3.11029990723758,2.32631531549331,82,3
"Sample 1369",3.23733715973127,2.2520247648111,82,3
"Sample 137",2.99059445493006,2.3594906569217,82,3
"Sample 1370",3.22876400345999,2.27637933581222,82,3
"Sample 1371",2.8940668439568,2.46487431724276,82,3
"Sample 1372",2.83030269178301,2.35873375580933,82,3
"Sample 1373",2.87014244469557,2.09393534569393,82,3
"Sample 1374",2.77286806431017,2.34839082491261,82,3
"Sample 1375",3.54476681658941,2.26489976650374,82,3
"Sample 1376",3.20779272972286,2.45852827767395,82,3
"Sample 1377",3.33967977242815,2.30350437419496,82,3
"Sample 1378",2.89358070384255,2.43980687719855,82,3
"Sample 1379",2.81776368906302,2.63469968628091,82,3
"Sample 138",3.05582576612538,2.56158353068233,82,3
"Sample 1380",2.95676478499374,2.45499259684554,82,3
"Sample 1381",3.17241379755063,2.26541098104893,82,3
"Sample 1382",3.10674785862179,2.50913459244892,82,3
"Sample 1383",2.610931182302,2.37330073588223,82,3
"Sample 1384",2.54122857036492,2.4351793674722,82,3
"Sample 1385",2.76581341585068,2.55545274791997,82,3
"Sample 1386",2.80882992740783,2.54692050728297,82,3
"Sample 1387",3.13970712717666,2.36971541595912,82,3
"Sample 1388",2.43928650483805,2.76521948240385,82,3
"Sample 1389",3.29970386566704,2.28266480610802,82,3
"Sample 139",2.75214004869738,2.52933361763589,82,3
"Sample 1390",2.96706434698333,2.71220790444618,82,3
"Sample 1391",3.40479543149208,2.46201048940844,82,3
"Sample 1392",3.62327044949844,2.55070013447912,82,3
"Sample 1393",2.67523187723025,2.75037786625944,82,3
"Sample 1394",2.96411103407598,2.6998150020022,82,3
"Sample 1395",2.83875875954481,2.47102902027614,82,3
"Sample 1396",3.01525536670033,2.88305973456765,82,3
"Sample 1397",2.86472515877115,2.34133045415144,82,3
"Sample 1398",3.00071377542008,2.20274754208403,82,3
"Sample 1399",3.03498837309404,2.31368559132851,82,3
"Sample 14",3.50669257089379,2.19004428645964,82,3
"Sample 140",3.05407045582958,2.72843864399634,82,3
"Sample 1400",2.75076543702297,2.49418084133023,82,3
"Sample 1401",3.33494621254839,2.57832317766648,82,3
"Sample 1402",2.92167112099568,2.52085876554301,82,3
"Sample 1403",3.07692000569208,2.43452002637783,82,3
"Sample 1404",3.28511378875092,2.45108983897085,82,3
"Sample 1405",3.6517842896042,2.49552221555407,82,3
"Sample 1406",2.95943754616919,2.21403284173909,82,3
"Sample 1407",3.03497930978654,2.66896125692524,82,3
"Sample 1408",2.88036529728779,2.59598450896777,82,3
"Sample 1409",3.22753647671278,2.35748119978191,82,3
"Sample 141",2.55384334034255,2.23746360755155,82,3
"Sample 1410",2.69714411727127,2.4404769487249,82,3
"Sample 1411",3.32975643715197,2.78635672769937,82,3
"Sample 1412",3.19609902734318,2.75941459825874,82,3
"Sample 1413",2.99916299161938,2.52454626337443,82,3
"Sample 1414",3.09759113944957,2.54621866308279,82,3
"Sample 1415",3.25984207296836,2.57801456395142,82,3
"Sample 1416",3.01001984465123,2.64627318849478,82,3
"Sample 1417",2.61125024268662,2.48421900852406,82,3
"Sample 1418",2.76090562660998,2.43694064292195,82,3
"Sample 1419",2.83617658799678,2.00279065810434,82,3
"Sample 142",2.82988765043905,2.60062074042657,82,3
"Sample 1420",2.8555108211134,2.30009898739379,82,3
"Sample 1421",3.25462700425516,2.77582373624489,82,3
"Sample 1422",3.09265543686722,2.78936608506828,82,3
"Sample 1423",2.79823005986621,2.5414158606812,82,3
"Sample 1424",3.1172867840463,2.23534383517958,82,3
"Sample 1425",2.91444668428668,2.36016673494587,82,3
"Sample 1426",2.94598988391248,2.40646535432866,82,3
"Sample 1427",2.9408169954725,2.09701935180819,82,3
"Sample 1428",2.98596056065122,2.57424909543343,82,3
"Sample 1429",3.10550401008959,2.59304482591598,82,3
"Sample 143",2.60745469198795,3.02692030581918,82,3
"Sample 1430",2.53395371002785,2.76158001162457,82,3
"Sample 1431",3.02515339245036,2.46127824355197,82,3
"Sample 1432",3.0025446464397,2.14960730358762,82,3
"Sample 1433",2.63187984035427,2.27302151939177,82,3
"Sample 1434",2.74686868190349,2.51118258310433,82,3
"Sample 1435",3.18254118762907,2.59003273788811,82,3
"Sample 1436",3.01871064472229,2.37242914983839,82,3
"Sample 1437",3.17352365419888,2.37597317677631,82,3
"Sample 1438",3.10309604718757,2.54237879021369,82,3
"Sample 1439",2.92017013730298,2.85268432446639,82,3
"Sample 144",3.0836346429365,2.26242792435764,82,3
"Sample 1440",3.00812521067884,2.59522246304084,82,3
"Sample 1441",3.31740390053101,2.49769828475161,82,3
"Sample 1442",2.99356261770659,2.23406886047593,82,3
"Sample 1443",1.94594202745177,2.448140308069,82,3
"Sample 1444",2.94825764738068,2.21763728013152,82,3
"Sample 1445",2.79893797828513,2.35426182075732,82,3
"Sample 1446",2.88404396331225,2.55980328150091,82,3
"Sample 1447",3.24064566714052,2.14769967525577,82,3
"Sample 1448",2.96254596207643,2.80721565233142,82,3
